job,job_category,job_description,median_salary,growth_in_ten,overall_score,salary_score,job_market_score,future_growth_score,stress_score,work_life_balance_score,upward_mobility,stress_level,flexibility,how_to_become,url,work_life_balance,promising_job,popular_word,times_pop,paid_count
Medical and Health Services Manager,Business,"Health care systems are like well-oiled machines, and it’s the job of medical and health services managers to keep all the parts running. These professionals might hire staff members, manage budgets, create goals for a department and increase the efficiency of health services, as well as manage a practice for a group of doctors, manage a medical facility or manage a department.",101340.0,136200.0,8.4,8.0,8.0,9.0,4.0,6.0,Above Average,Above Average,Average,"Medical and Health Services Managers made a median salary of $101,340 in 2021. The best-paid 25% made $135,750 that year, while the lowest-paid 25% made $77,750. Most medical and health services managers have at least a bachelor’s degree in health administration. However, a master’s degree in an area like public administration, business administration or public health might help open the door to more opportunities.Certification isn't a requirement, but it can help demonstrate proficiency to potential employers. Organizations including the Professional Association of Health Care Office Management and the American Health Information Management Association offer various certifications for medical and health services managers. “Their real-world exposure coupled with professional certification makes them a far better employment candidate than those without,” Karen Blanchette, executive director of the Professional Association of Health Care Office Management, says of professionals who obtain certification. Prospective medical and health services managers might also need to acquire their licensure, depending on their workplace. For instance, nursing home administrators are required to have licensure, while licensure for those in charge of assisted living facilities will vary by state. Other sectors of medical and health services management don’t require licensure. ",https://money.usnews.com/careers/best-jobs/medical-and-health-services-manager,1,1,health,10,23
Financial Manager,Business,"If financial managers were doctors, the financial success of their organization would be a testimony to their treatment. These business professionals create financial reports, coordinate investment activity and develop long-term financial strategies for companies.",131710.0,123100.0,7.7,9.1,6.0,8.0,2.0,4.0,High,High,Below Average,"Financial Managers made a median salary of $131,710 in 2021. The best-paid 25% made $191,860 that year, while the lowest-paid 25% made $99,620. Financial managers usually start by earning a bachelor's degree in finance, accounting, economics or business administration. Many also earn a master's degree (in business administration, finance or economics) and continue getting financial management training, both on the job and off. According to the BLS, financial managers typically need at least five years of experience working in a related occupation, such as financial analyst or securities sales agent. Certifications and licensures are common in the field; financial managers who work as accountants become certified public accountants, for example. Because many financial managers are also charged with overseeing others, organizations often require management training as well.Interested in getting started in the field of finance? Read our How to Learn Finance guide.  ",https://money.usnews.com/careers/best-jobs/financial-manager,0,1,financial,7,25
Market Research Analyst,Business,"Knowing what customers want is essential in running a business, and market research analysts help companies do just that. Typical responsibilities include monitoring and forecasting marketing and sales trends, measuring the effectiveness of marketing programs and strategies, gathering and analyzing data, and preparing and presenting reports to both clients and management.",63920.0,150300.0,7.2,6.3,6.0,9.0,4.0,6.0,High,Above Average,Average,"Market Research Analysts made a median salary of $63,920 in 2021. The best-paid 25% made $97,600 that year, while the lowest-paid 25% made $48,400. You typically need a bachelor’s degree to become a market research analyst. However, according to the BLS, some positions, including those focusing on technical research, may require a master’s degree.“Many in the industry have social science, technical or business degrees, but the industry is open to anyone who is curious and interested in understanding the consumer and research,” Courtright says.A market research analyst’s job requires understanding data, so having a good grasp of statistics is essential. As the job title implies, those who plan to work in this field should also study marketing and research methods. Courses on consumer behavior and communications can also be helpful in this position.While not required, certificates from universities and certifications from professional organizations show that market research analysts can do their jobs with expertise and proficiency. ",https://money.usnews.com/careers/best-jobs/market-research-analyst,1,1,research,7,27
Logistician,Business,"A logistician is involved in every aspect of a product’s life, including design, purchase, transportation, inventory and warehousing.",77030.0,54100.0,7.2,6.9,6.0,8.0,4.0,4.0,Above Average,Above Average,Below Average,"Logisticians made a median salary of $77,030 in 2021. The best-paid 25% made $98,680 that year, while the lowest-paid 25% made $59,740. Some entry-level positions may only require a high school diploma or associate degree, but in general, logisticians – especially those who want to advance in their careers – need a bachelor’s degree in supply chain management or a related field.“Bachelor’s degree programs often include coursework in operations and database management, and system dynamics,” according to the BLS. “In addition, most programs offer courses that train students on software and technologies commonly used by logisticians, such as radio-frequency identification.”Some companies may accept relevant work experience in lieu of meeting degree requirements, such as if a job applicant had logistics-related experience in the military. ",https://money.usnews.com/careers/best-jobs/logistician,0,1,degree,4,29
Management Analyst,Business,"Time really is money. Management analysts work with companies to improve overall efficiency, proposing plans to increase profitability, reduce costs and increase revenue.",93000.0,108400.0,7.1,7.6,4.0,9.0,4.0,10.0,Average,Above Average,High,"Management Analysts made a median salary of $93,000 in 2021. The best-paid 25% made $124,430 that year, while the lowest-paid 25% made $64,150. A bachelor's degree is required for most entry-level positions, but many employers prefer to hire people with a master's degree in business administration. A certified management consultant certificate may improve job prospects. Additional years of experience in the field the worker plans to provide consulting services to may also be required. ",https://money.usnews.com/careers/best-jobs/management-analyst,1,1,management,2,31
Financial Advisor,Business,"Financial advisors counsel clients on their finances. Their responsibilities include creating budgets and retirement plans, providing investing advice and even investing on behalf of a client.",94170.0,50900.0,7.0,7.7,6.0,6.0,4.0,6.0,Above Average,Above Average,Average,"Financial Advisors made a median salary of $94,170 in 2021. The best-paid 25% made $158,890 that year, while the lowest-paid 25% made $61,200. To be a financial advisor, you need financial expertise and a desire to help people. Here's how to get started:1. Earn a bachelor's degree. Financial advisors often study finance, accounting or another business-related major to prepare for this job, but you can choose from a broad range of degrees. Increasingly, universities have begun offering financial planning degrees, too.2. Train on the job. Financial advisors spend a lot of time on the job learning from experienced senior advisors, particularly on how to develop and grow their client base.3. Become licensed. The Certified Financial Planner Certification Examination is required to become a CFP – a distinction that looks good to employers and clients. You'll need a bachelor's degree and you must meet other education and work experience requirements to take the exam.4. Get an advanced degree. Many financial advisors pursue a master's degree. Areas of study may include finance or business administration. Obtaining an advanced degree can help financial advisors move into more senior-level roles.You can also acquire other designations if you want to specialize in a certain area of financial planning. For instance, you can complete the necessary coursework and exam to acquire the Chartered Retirement Plans Specialist designation. And if you plan on buying or selling stocks or selling insurance, you'll need to procure specific licenses for that, too.This job takes more than education and certifications, though. You’ll need the ability to navigate complex client relationships. ""My colleagues and I agree that 80% of our job is psychology, and only 20% is financial. I know successful owners of financial advisory firms that specifically recruit psychology majors for this reason,"" Schaefer says. ""Though a business or economics degree will better prepare a professional to take industry exams or explain financial products, the ability to understand the core concerns and goals of a client or prospective client is much more valuable."" ",https://money.usnews.com/careers/best-jobs/financial-advisor,1,1,financial,13,33
Financial Analyst,Business,"Buy? Sell? It’s a financial analyst’s job to recommend what clients should do with their investments, in addition to compiling reports that explain their investment analyses.",81730.0,77200.0,6.9,7.1,8.0,8.0,2.0,4.0,High,High,Below Average,"Financial Analysts made a median salary of $81,730 in 2021. The best-paid 25% made $127,610 that year, while the lowest-paid 25% made $62,380. While a bachelor’s degree is required, usually in a finance-related field, many financial analysts also earn master’s degrees in finance or business administration and take additional financial analyst courses. Many in the field also become certified financial analysts, and employers often sponsor certification and licensing programs. You’ll get an advantage in the field by obtaining a certification, like a chartered financial analyst, or by taking advanced courses in subjects related to your specialty. Licensing is typically required for analysts looking to sell financial products.The ambitious may take on larger responsibilities and advance to supervisory positions, and the best of the best may go on to become fund managers. ",https://money.usnews.com/careers/best-jobs/financial-analyst,0,1,financial,6,35
Actuary,Business,"Are you more of a risk calculator than a risk taker? Consider working as an actuary. These professionals are experts in uncertainty, using mathematics, statistics and financial theory to measure, manage and mitigate financial risk.",105900.0,5900.0,6.8,8.1,,6.0,6.0,6.0,Above Average,Average,Average,"Actuaries made a median salary of $105,900 in 2021. The best-paid 25% made $153,310 that year, while the lowest-paid 25% made $80,320. Most actuaries start out with a bachelor's degree. And no matter your major, ""you have to be pretty good at math,"" Manning says. Actuaries also need to be well-versed in statistics and financial theory. Here’s how to get started:1. Earn a bachelor’s degree. Majoring in mathematics, statistics or actuarial science is helpful for a career in this profession. 2. Gain internship experience. Internships can help students decide on which actuarial path to head down. Areas of practice may include health, life and casualty.3. Pass a series of exams. To become a certified actuary, you need to pass a series of actuarial exams.Typically, students will want to have passed at least one or two of the actuarial exams before job-seeking in the actuarial field. However, some jobs – like Manning's first one – will hire you as a trainee and allow you to work as you study and pass the series of exams. There are different exam requirements, depending on what sort of actuary you want to be.  ",https://money.usnews.com/careers/best-jobs/actuary,1,1,actuarial,5,37
Operations Research Analyst,Business,"From data mining to mathematical modeling, operations research analysts use advanced techniques to help businesses run in a more efficient and cost-effective manner.",82360.0,24200.0,6.8,7.2,6.0,8.0,4.0,6.0,Above Average,Above Average,Average,"Operations Research Analysts made a median salary of $82,360 in 2021. The best-paid 25% made $119,240 that year, while the lowest-paid 25% made $61,940. Entry-level professionals often have a bachelor's degree in math, business or industrial engineering, according to INFORMS. But some employers favor applicants with a master's degree. At the graduate level, you'll find degree programs in operations research, analytics and management science, and some operations research analysts have degrees in other technical fields like engineering or computer science. Coursework in both math and computer science is important, as is keeping up with technological advances and new software and analytical methods. ",https://money.usnews.com/careers/best-jobs/operations-research-analyst,1,1,operations,3,39
Statistician,Business,Statistics is the science of using data to make decisions. This is relevant in almost all fields of work and there are many opportunities for employment.,95570.0,11200.0,6.7,7.7,2.0,8.0,8.0,8.0,Above Average,Below Average,Above Average,"Statisticians made a median salary of $95,570 in 2021. The best-paid 25% made $125,800 that year, while the lowest-paid 25% made $70,120. To qualify for statistics-related jobs, statisticians should have at least a bachelor's degree in statistics, though a master's degree in statistics, mathematics or survey methodology might open more doors. However, to teach or conduct research, professionals may need to get their Ph.D.""People need statisticians, folks with the right level of training, who ask the relevant questions, who know how much data should be collected and know how to employ statistical principles,"" Mehrotra says. ""These days, even people with undergraduate degrees in statistics will have tremendous potential."" ",https://money.usnews.com/careers/best-jobs/statistician,1,1,statistics,4,41
Software Developer,Technology,"Software developers need to be innovative, creative and, of course, technical in order to succeed in this field. They might write new code or fix bugs in code to make it work better.",120730.0,370600.0,8.8,8.7,8.0,9.0,6.0,8.0,High,Average,Above Average,"Software Developers made a median salary of $120,730 in 2021. The best-paid 25% made $151,960 that year, while the lowest-paid 25% made $90,870. You can take several different paths to build a career in software development. Here’s how many developers get started:1. Earn your bachelor's degree. Software developers often pursue a degree in computer science, where they'll study computers and programming.2. Gain hands-on experience. Employers are often drawn to applicants with practical experience. Many students complete an internship or seek out experience beyond the classroom to prepare themselves for a career in software development.3. Pursue a master’s degree. Though not required, some employers prefer developers with an advanced degree. ""It's super important to understand CS fundamentals like big O notation, common algorithms, standard languages and technical approaches. You can learn this from school or from apprenticeship, but you need to learn it somehow,"" Sam Schillace writes in an email. Schillace is the vice president of engineering for industry solutions at Google. Before that, he co-founded Writely, which he later sold to Google, where it was used to create Google Docs. So, yes, a bachelor's degree in computer science is a good idea, but a degree alone won't help you snag that dream job. ""We look at track records as much as school – someone from a great school with no outside coding projects or interesting technical accomplishments is definitely less interesting, and someone who is a rock star coder with no degree but a huge list of achievements would be an easy hire,"" Schillace explains. ",https://money.usnews.com/careers/best-jobs/software-developer,1,1,degree,7,43
Information Security Analyst,Technology,"As concern about cybersecurity grows, so does the demand for information security analysts. It is the duty of these professionals to prepare and carry out security measures that protect a company’s computer networks and systems.",102600.0,56500.0,8.1,8.0,8.0,10.0,4.0,4.0,Above Average,Above Average,Below Average,"Information Security Analysts made a median salary of $102,600 in 2021. The best-paid 25% made $131,340 that year, while the lowest-paid 25% made $79,400. You’ll typically need a bachelor’s degree to work in an information security role. According to the BLS, this could be a degree in computer and information technology, or even engineering or math. But Cegielski says employers may prefer candidates with a degree in information systems.“That surprises many people because they think this role is heavily focused toward computer science,” he says. “In fact, this is a business role first. You are helping secure the business based on the regulations, compliance requirements and strategy of the organization.”Various cybersecurity certifications are available, and many companies prefer to hire certified security professionals. In addition, information security analysts must always be learning and growing with the ever-changing technology landscape, staying on top of the latest trends, issues and threats.“I am a huge advocate of continuous education in this profession,” Cegielski says. “The skills and knowledge required to be successful evolve quickly.” He specifically mentions that the Certified Information Systems Security Professional, Certified Information Systems Auditor and Certified Information Security Manager “are all very challenging credentials to earn and valuable indicators of a broader understanding of the profession.” ",https://money.usnews.com/careers/best-jobs/information-security-analyst,0,1,information,8,45
IT Manager,Technology,"Our increasingly digital workplace demands more IT managers, who coordinate computer-related activities for an organization. Duties include analyzing and recommending computer needs, installing and maintaining computer hardware and software, securing an office’s network and electronic documents and searching for new technologies and upgrade opportunities.",159010.0,82400.0,7.7,10.0,6.0,8.0,2.0,4.0,Above Average,High,Below Average,"IT Managers made a median salary of $159,010 in 2021. The best-paid 25% made $198,750 that year, while the lowest-paid 25% made $122,820. IT managers typically need a bachelor's degree in computer or information science, including coursework in computer programming, software development and mathematics. Companies often require their IT managers to have a graduate degree, such as a Master of Business Administration. Most spend five to 10 years in an IT occupation before being promoted to manager, but smaller companies generally do not require as much experience as larger companies. Successful IT managers can further advance to IT directors, chief technology officers and perhaps even chief information officers. ",https://money.usnews.com/careers/best-jobs/it-manager,0,1,managers,4,47
Web Developer,Technology,"Web developers use code to create everything you see on your favorite websites, from the special effects to the search functionality.",77030.0,28900.0,7.7,6.9,8.0,8.0,6.0,10.0,Above Average,Average,High,"Web Developers made a median salary of $77,030 in 2021. The best-paid 25% made $100,670 that year, while the lowest-paid 25% made $51,100. You don’t necessarily need a college degree to become a web developer, although some employers may prefer to hire candidates with a bachelor’s degree in programming or computer science.“But the majority of companies are going to focus solely on what you can do,” Panik says. “So, (what’s) more important than any training that you could have is being able to demonstrate a history of work: ‘I have built thing X.’”Boot camps can be a helpful tool for beginner web developers who want to learn, but a certificate from a boot camp alone isn’t enough to guarantee you’ll land a job. Prospective employers want to see passionate candidates showcase their skill set through portfolios of original projects. Panik says he would be most likely to hire a candidate who has created projects in addition to what the bootcamp required of them.“No matter what kind of training you do, you’re not going to learn these kinds of skills in a classroom,” he says. “You’ve got to get out there and try and learn by doing.”Interested in getting started in Web Development? Read our How to Become a Web Developer guide >> ",https://money.usnews.com/careers/best-jobs/web-developer,1,1,web,5,49
Computer Systems Analyst,Technology,Computer systems analysts must have a diverse skill set. The position requires information technology and business knowledge. These analysts custom design computer systems and processes for clients.,99270.0,50900.0,7.1,7.9,6.0,8.0,6.0,6.0,Average,Average,Average,"Computer Systems Analysts made a median salary of $99,270 in 2021. The best-paid 25% made $126,780 that year, while the lowest-paid 25% made $77,620. A bachelor's degree in information sciences is perhaps the best way to prepare for this career. These programs prepare students to immediately step into the field, with courses that range from software development and database design to social psychology and project management, among others. Information sciences degrees give students a sound background in business and technology. However, you can also get a bachelor's degree in another relevant field, such as computer science.Some employers might want job applicants to have a master's degree in business administration with a concentration in information systems, so that they have business and integration skills. Keeping up with the latest advancements in technology is also key to remaining competitive in the field. ",https://money.usnews.com/careers/best-jobs/computer-systems-analyst,1,1,degree,3,51
Data Scientist,Technology,Data scientists use technology to glean insights from large amounts of data they collect.,100910.0,40500.0,7.0,7.9,2.0,8.0,6.0,8.0,High,Average,Above Average,"Data Scientists made a median salary of $100,910 in 2021. The best-paid 25% made $130,770 that year, while the lowest-paid 25% made $77,620. Data scientists may come to the field from a variety of disciplines, including engineering, math, computer science, business, and natural or social sciences. Recently, colleges have started to offer data science certificates and degree programs, and there are also boot camps and online programs that teach data science skills. Because the title “data scientist” can refer to many types of jobs in a range of industries, the skills you need may vary. “The most common denominators,” Holdgraf says, “are courses in statistics and computational analysis – including things like machine learning, for example – but that have a very strong focus on the kind of pragmatic, hands-on and practical, getting-stuff-done version of those concepts.”Indeed, aspiring data scientists can’t be afraid of numbers, though, “you don’t need to be a mathematician” and must be comfortable working with a computer, Holdgraf says. Communication skills are also vital, he says. “You can run all the analyses that you want to, but in the end, it’s only going to be useful if you can turn that into something that’s going to be useful to another human being.” Interested in getting started in Data Science? Read our How to Learn Data Science guide.  ",https://money.usnews.com/careers/best-jobs/data-scientist,1,1,data,8,53
